First,Last ,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,T2ACure,Tunxis,NipMar,Mohawk,Bimblers,Total
Rebecca,Hall,*,*,*,*,*,44.4,*,,,,,,44.4
Amy,Faraone,43.75,*,*,*,*,*,*,,,,,,43.75
Elizabeth,Eichorn,*,*,*,*,43.57,*,*,,,,,,43.57
Megan,Beegan,*,*,42.43,*,*,*,*,,,,,,42.43
Isabella,Dimmock,*,*,42.3,*,*,*,*,,,,,,42.3
Abrianna,Williams,*,*,*,42.08,*,*,*,,,,,,42.08
Kacie,Poncini,*,*,39.24,*,*,*,*,,,,,,39.24
Maryanne,Donato,*,*,38.93,*,*,*,*,,,,,,38.93
Patricia,Kurzynski,*,*,38.93,*,*,*,*,,,,,,38.93
Erin,Baran,38.24,*,*,*,*,*,*,,,,,,38.24
Molly,Rajsombath,38.23,*,*,*,*,*,*,,,,,,38.23
Rosie,Santerre,*,*,37.34,*,*,*,*,,,,,,37.34
Lee,Anne,*,*,*,*,*,37.24,*,,,,,,37.24
Kristin,Pearson,37.06,*,*,*,*,*,*,,,,,,37.06
Judy,Graham-Garcia,*,*,35.49,*,*,*,*,,,,,,35.49
Jessica,Veneziano-Lemos,*,*,34.32,*,*,*,*,,,,,,34.32
Joanna,Lacman,*,*,34.3,*,*,*,*,,,,,,34.3
Cassie,Tempone,32.35,*,*,*,*,*,*,,,,,,32.35
